emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept_name
482354,Jayson,Zockler,1/23/1965,11/6/1999,1/1/9999,Staff,Research
482335,Kwangyoen,Peck,1/26/1965,1/16/1994,1/1/9999,Engineer,Development
482278,Sven,Hinsberger,1/2/1965,9/11/1989,7/24/1992,Senior Engineer,Production
481807,Taegyun,Vieri,1/23/1965,6/17/1988,3/3/1989,Senior Engineer,Development
481790,Haldun,Erie,1/22/1965,1/1/1999,1/1/9999,Senior Engineer,Research
481764,Teiji,Marrakchi,1/27/1965,8/26/1986,1/1/9999,Senior Engineer,Production
481467,Margareta,Polajnar,1/3/1965,2/24/1989,7/1/1996,Staff,Sales
481399,Amabile,Crelier,1/5/1965,6/16/1998,1/14/1999,Staff,Research
481397,Luisa,Chelton,1/31/1965,8/13/1998,1/1/9999,Assistant Engineer,Production
481213,Shigehiro,Haldar,1/8/1965,12/14/1991,1/1/9999,Senior Staff,Sales
481148,Gina,Decaestecker,1/18/1965,6/20/1986,5/25/1989,Engineer,Development
481050,Weiru,Burnard,1/16/1965,10/15/1990,1/1/9999,Staff,Human Resources
480571,Anoosh,Wielonsky,1/9/1965,8/4/1994,8/1/1996,Engineer,Development
480407,Deniz,Bennis,1/1/1965,6/24/1989,1/1/9999,Senior Engineer,Development
480268,Gaurav,Cheshire,1/18/1965,3/30/1989,1/1/9999,Technique Leader,Development
480178,Uinam,Rahier,1/3/1965,2/10/1991,1/1/9999,Senior Staff,Research
480066,Suebskul,Menhardt,1/31/1965,7/26/1994,1/1/9999,Engineer,Quality Management
480035,Sukumar,Georg,1/26/1965,3/27/1990,8/26/1990,Senior Staff,Research
479695,Masamitsu,Murrill,1/6/1965,6/23/1999,1/1/9999,Senior Staff,Marketing
479601,Kayoko,Bahi,1/19/1965,2/19/1997,1/1/9999,Staff,Research
479407,Randi,Tomescu,1/18/1965,11/25/1986,1/1/9999,Assistant Engineer,Production
479024,Ewing,Kalorkoti,1/3/1965,12/21/1996,1/1/9999,Engineer,Production
478858,Hidekazu,Perna,1/20/1965,11/8/1999,1/1/9999,Staff,Customer Service
478833,Pradeep,Valiente,1/30/1965,9/19/1992,1/1/9999,Engineer,Production
478799,Shaw,Borovoy,1/18/1965,5/11/1991,1/1/9999,Senior Staff,Marketing
478768,Arun,Katzenelson,1/3/1965,10/28/1991,1/1/9999,Engineer,Production
478439,Yuichiro,Bale,1/15/1965,11/4/1997,1/1/9999,Technique Leader,Development
478218,Djenana,Erol,1/2/1965,12/3/1999,1/1/9999,Engineer,Research
478170,Doowon,Schoegge,1/22/1965,5/29/1994,4/13/1995,Assistant Engineer,Quality Management
478007,Fumino,Narahara,1/6/1965,9/21/1991,1/1/9999,Engineer,Production
477969,Bluma,Mundy,1/18/1965,10/18/1991,1/1/9999,Senior Engineer,Development
477578,Marit,Paludetto,1/23/1965,9/30/1990,1/1/9999,Senior Engineer,Development
477352,Nikolaos,Lorch,1/12/1965,4/17/1999,3/7/2002,Engineer,Development
477350,Terresa,Vigier,1/1/1965,7/8/1998,1/1/9999,Staff,Sales
476488,Yuping,Kuhnemann,1/30/1965,12/13/1986,7/7/1994,Technique Leader,Production
476361,Doohun,Preusig,1/9/1965,4/28/1993,1/1/9999,Technique Leader,Research
476327,Reinhold,Binkley,1/31/1965,5/29/1995,1/1/9999,Engineer,Production
476122,Khun,Spieker,1/4/1965,5/7/1995,1/1/9999,Engineer,Production
476055,Girolamo,Schlumberger,1/3/1965,3/7/1993,1/1/9999,Senior Staff,Research
475965,Rimon,Pietracaprina,1/2/1965,7/10/1985,1/1/9999,Senior Engineer,Development
475938,Shigeaki,Lanteri,1/14/1965,2/17/1989,1/1/9999,Senior Engineer,Development
475538,Christophe,Leaver,1/15/1965,10/31/1998,1/1/9999,Staff,Human Resources
475258,Fumiyo,Feinberg,1/10/1965,11/22/1987,2/12/2000,Staff,Customer Service
475087,Genevieve,Snedden,1/31/1965,10/21/1988,1/1/9999,Senior Engineer,Production
474918,Rasikan,Khalil,1/15/1965,2/10/1985,3/11/1985,Engineer,Development
474796,Zongyan,Shackel,1/10/1965,11/9/1986,8/17/1987,Technique Leader,Production
474763,Mayuko,Clouatre,1/7/1965,9/4/1997,1/1/9999,Engineer,Development
474372,Monique,Cyre,1/13/1965,2/13/1986,10/11/1994,Staff,Finance
474331,Sugwoo,Eugenio,1/29/1965,10/6/1991,3/2/1994,Senior Staff,Human Resources
474257,Sungwon,Kornyak,1/24/1965,4/4/1991,10/23/1994,Staff,Research
474162,Ung,Taubenfeld,1/31/1965,10/14/1999,6/30/2001,Engineer,Production
473940,Avishai,Majewski,1/16/1965,1/10/1998,1/1/9999,Engineer,Production
473824,Shin,Puoti,1/22/1965,12/20/1996,5/9/1999,Staff,Marketing
473490,Pantung,Reeker,1/6/1965,5/11/1992,1/1/9999,Staff,Research
473299,Khaled,Penn,1/12/1965,5/19/1992,1/1/9999,Staff,Sales
473268,Hugo,Sgarro,1/1/1965,4/24/1992,1/1/9999,Senior Staff,Sales
472950,Weidon,Fordan,1/29/1965,3/27/1986,1/1/9999,Senior Engineer,Production
472790,Zhenbing,Ibel,1/23/1965,10/29/1985,1/1/9999,Senior Engineer,Development
472440,Xuejia,Leppanen,1/30/1965,8/25/1998,10/25/2000,Staff,Human Resources
472238,Jungsoon,Gubsky,1/31/1965,10/9/1990,1/1/9999,Senior Engineer,Production
472143,Yahiko,Sommen,1/25/1965,8/14/1996,1/1/9999,Senior Staff,Sales
472052,Godehard,Chinal,1/26/1965,12/9/1995,1/1/9999,Assistant Engineer,Development
471939,Kazuhiko,Marshall,1/27/1965,11/16/1999,6/4/2001,Staff,Research
471911,Arun,Zaccaria,1/14/1965,5/31/1990,1/1/9999,Assistant Engineer,Quality Management
471552,Basem,Lortz,1/22/1965,10/25/1997,1/1/9999,Staff,Finance
471532,Feiyu,Decleir,1/17/1965,9/13/1998,1/1/9999,Technique Leader,Development
471397,Nigel,Zirintsis,2/1/1965,7/23/1999,1/1/9999,Engineer,Research
470472,Zhiguo,Staudhammer,2/1/1965,12/3/1985,1/1/9999,Engineer,Development
470456,Reuven,Oehlmann,1/13/1965,3/29/1986,1/1/9999,Staff,Sales
469867,Hein,Jonsson,1/23/1965,2/12/1985,1/1/9999,Staff,Research
469805,Chaosheng,Shobatake,1/21/1965,7/3/1991,9/15/2001,Staff,Finance
469735,Arif,Stranks,1/30/1965,11/16/1992,1/1/9999,Senior Engineer,Development
469529,Neven,Rikino,1/7/1965,10/21/1988,1/1/9999,Engineer,Quality Management
469527,Halsur,Ibel,1/24/1965,3/5/1998,1/1/9999,Staff,Research
469399,Hongzhu,Ruemmler,1/25/1965,2/14/1999,6/6/2000,Engineer,Development
469366,Aiman,Wilfing,1/12/1965,12/30/1990,1/1/9999,Engineer,Quality Management
469269,Weiyi,Codenie,1/23/1965,5/27/1989,1/1/9999,Senior Engineer,Production
469253,Baruch,Basawa,1/17/1965,9/17/1993,1/1/9999,Senior Engineer,Development
469104,Nadjib,Comellas,1/21/1965,1/22/1999,1/1/9999,Senior Engineer,Quality Management
468773,Baziley,Brookner,1/27/1965,9/22/1993,1/1/9999,Senior Engineer,Quality Management
468763,Sachin,Zlotek,1/12/1965,3/11/1985,8/9/1990,Senior Engineer,Production
468659,Ranga,Lemarechal,1/18/1965,11/5/1989,1/1/9999,Engineer,Development
468417,Kamakshi,Huhdanpaa,1/25/1965,8/26/1993,1/1/9999,Senior Engineer,Production
468360,Huei,Saoudi,1/12/1965,8/10/1994,1/1/9999,Technique Leader,Development
467918,Tsuneo,Skrikant,1/3/1965,10/21/1997,1/1/9999,Staff,Customer Service
467886,Sivanarayana,Chandrasekhar,1/2/1965,1/24/1996,1/1/9999,Senior Staff,Marketing
467591,Kiyotoshi,Hennebert,1/17/1965,9/21/1997,3/6/2001,Staff,Human Resources
467441,Margareta,Bondorf,1/13/1965,11/7/1988,1/1/9999,Senior Engineer,Production
467392,Mariusz,Rikino,1/7/1965,4/13/1995,1/1/9999,Engineer,Production
467269,Nahum,Lambe,1/18/1965,8/31/1989,1/1/9999,Technique Leader,Development
467176,Przemyslawa,Borovoy,1/5/1965,6/18/1993,1/1/9999,Senior Staff,Human Resources
466911,Stepehn,Markovitch,1/11/1965,8/13/1991,8/7/1995,Staff,Customer Service
466745,Boalin,Birsak,1/26/1965,10/16/1995,1/1/9999,Staff,Human Resources
466603,Yechezkel,Nourani,1/23/1965,8/1/1991,1/1/9999,Staff,Marketing
466509,Bezalel,Verhoeff,1/26/1965,3/22/1988,1/1/9999,Senior Engineer,Development
466367,Hiroyasu,Strandh,1/5/1965,6/5/1989,1/1/9999,Senior Staff,Customer Service
466064,Temple,Danlos,1/31/1965,6/13/1994,1/1/9999,Senior Staff,Sales
465874,Herb,Picht,1/12/1965,5/31/1985,1/1/9999,Assistant Engineer,Production
465853,Kwan,Kampfer,1/1/1965,10/16/1998,1/1/9999,Staff,Human Resources
465711,Lakshmi,Frijda,1/6/1965,4/21/1990,1/1/9999,Senior Engineer,Development
465501,Mrinalini,Gire,1/5/1965,11/9/1992,1/1/9999,Staff,Human Resources
465409,Shahid,Varman,1/30/1965,8/27/1985,1/1/9999,Senior Staff,Marketing
465085,Vidar,Gunderson,1/18/1965,3/18/1996,1/1/9999,Senior Staff,Customer Service
465076,Tokuyasu,Ghelli,1/19/1965,5/5/1985,1/1/9999,Senior Engineer,Production
465062,Stafford,Gist,1/29/1965,5/7/1988,1/1/9999,Senior Engineer,Production
464526,Berna,Comellas,1/2/1965,9/7/1995,2/18/2000,Staff,Research
464303,Abdelghani,Nyrup,1/22/1965,8/2/1986,1/1/9999,Senior Staff,Customer Service
464284,Huiqun,Henders,1/20/1965,5/19/1993,1/1/9999,Senior Staff,Sales
463495,Alenka,Barriga,1/28/1965,5/6/1988,1/1/9999,Staff,Human Resources
463472,Jaber,Sethi,1/11/1965,6/11/2000,1/1/9999,Technique Leader,Customer Service
463212,Ramya,Rossi,1/9/1965,9/2/2001,1/1/9999,Senior Engineer,Quality Management
463099,Jinxi,Schmiedel,1/15/1965,9/21/1990,1/1/9999,Senior Staff,Finance
463023,Itzchak,Penn,1/6/1965,1/21/1999,1/1/9999,Staff,Marketing
462795,Somnath,Cummings,1/5/1965,7/10/1994,1/1/9999,Staff,Research
462736,Larisa,Murtafg,1/14/1965,2/25/1991,6/4/1993,Staff,Research
462493,Paloma,Gerlach,1/12/1965,7/26/1988,1/1/9999,Senior Engineer,Quality Management
462067,Sampalli,Francisci,1/29/1965,11/25/1994,10/17/2001,Senior Staff,Marketing
461801,Sumali,Cooman,1/3/1965,2/16/1992,4/18/1993,Senior Staff,Sales
461723,Deborah,Basawa,1/2/1965,4/30/1991,3/2/1992,Assistant Engineer,Development
461563,Sreenivas,Versino,1/29/1965,8/24/1985,12/25/1988,Senior Staff,Finance
461270,Mrinalini,Mawatari,1/10/1965,1/3/1996,1/1/9999,Staff,Sales
461120,Shietung,Gelosh,1/18/1965,4/1/2001,1/1/9999,Engineer,Research
460920,Remzi,Mitzlaff,1/22/1965,4/6/1986,1/1/9999,Senior Staff,Sales
460707,Yoshinari,Lanteri,1/7/1965,12/25/1996,1/1/9999,Senior Engineer,Development
460691,Munehiko,Gihr,1/16/1965,12/6/1989,1/1/9999,Senior Staff,Human Resources
460131,Adly,Hambrick,1/16/1965,7/25/1997,1/1/9999,Staff,Sales
459846,Yuping,Sethi,1/24/1965,12/28/1997,5/21/1999,Staff,Human Resources
459685,Hirochika,Goldhammer,2/1/1965,3/12/1998,1/1/9999,Engineer,Quality Management
459429,Mohit,Verhaegen,1/14/1965,5/27/1992,1/1/9999,Staff,Sales
459356,Pramod,Wendorf,1/21/1965,12/25/1998,1/1/9999,Engineer,Development
459172,Val,Rissanen,1/19/1965,11/20/1993,1/1/9999,Assistant Engineer,Development
458919,Kaijung,Papadias,1/12/1965,5/1/1999,4/12/2001,Engineer,Development
458790,Ramya,Azadmanesh,1/17/1965,11/19/1988,1/1/9999,Engineer,Production
458726,Shahaf,Kitai,1/13/1965,12/26/1986,1/1/9999,Senior Staff,Customer Service
458383,Mabhin,Foote,1/6/1965,4/23/1999,1/1/9999,Engineer,Development
458191,George,Atchley,1/28/1965,7/2/1997,1/1/9999,Staff,Research
458134,Thanasis,Standera,1/11/1965,3/20/1985,1/1/9999,Staff,Human Resources
458111,Florian,Tramer,1/23/1965,11/7/1999,1/1/9999,Engineer,Production
457938,Arch,Picco,1/14/1965,10/22/1997,1/1/9999,Senior Staff,Customer Service
457832,Jackson,Zielinski,2/1/1965,9/12/1997,1/1/9999,Senior Engineer,Development
457813,Foong,Gargeya,1/28/1965,1/24/1992,1/1/9999,Senior Engineer,Production
457776,Florian,Siepmann,1/15/1965,12/21/1987,1/1/9999,Senior Engineer,Production
457653,Yakichi,Naumovich,1/21/1965,6/12/1988,7/3/1988,Technique Leader,Quality Management
457611,Indrajit,Krogh,1/9/1965,9/18/1998,1/1/9999,Engineer,Development
457489,Berna,Ranst,1/24/1965,5/14/1985,1/1/9999,Senior Engineer,Production
457411,Xudong,Peck,1/13/1965,4/18/1988,1/1/9999,Senior Engineer,Development
457337,Xumin,Beidas,1/31/1965,4/27/1995,1/1/9999,Technique Leader,Quality Management
457305,Sorina,Lakshmanan,1/15/1965,9/3/1994,1/1/9999,Staff,Sales
457146,Jinpo,Heyers,1/20/1965,1/7/1999,1/1/9999,Staff,Research
457070,Gay,Plavsic,1/25/1965,8/6/1987,1/1/9999,Staff,Human Resources
456982,Shounak,Dratva,1/7/1965,1/5/1989,1/1/9999,Engineer,Development
456824,Aloke,Neiman,1/13/1965,7/10/1985,7/23/1996,Technique Leader,Development
456767,Tetsurou,Schreiter,1/24/1965,7/17/1987,1/1/9999,Staff,Sales
455914,Peer,Angelopoulos,1/1/1965,7/23/1989,1/1/9999,Senior Engineer,Development
455814,Giao,DuCasse,1/28/1965,7/19/1991,1/1/9999,Senior Engineer,Production
455726,Qiwen,Kriebel,1/8/1965,12/13/1987,1/1/9999,Senior Staff,Sales
455415,Weiye,Krohm,1/10/1965,10/29/1990,2/10/2000,Staff,Sales
455364,Ranga,Plesums,1/29/1965,1/28/1990,5/13/1997,Senior Staff,Sales
455296,Mang,Sundgren,1/1/1965,11/27/1995,7/13/1999,Engineer,Development
455284,Luisa,Baig,1/9/1965,7/12/1996,1/1/9999,Senior Engineer,Quality Management
455243,Khoa,Bahk,1/13/1965,6/10/1991,2/7/1998,Senior Engineer,Development
455175,Soenke,Zaumen,1/14/1965,2/22/1992,1/1/9999,Staff,Marketing
455113,Manohar,Rothenberg,1/15/1965,4/22/1999,6/16/2002,Staff,Human Resources
454994,Mohan,Picht,1/1/1965,2/24/1991,1/1/9999,Senior Engineer,Production
454825,Kamakshi,Schusler,1/2/1965,5/25/1995,1/1/9999,Engineer,Production
454791,Xiaoqiu,Pietracaprina,1/22/1965,7/9/1994,1/1/9999,Senior Engineer,Production
454736,Nechama,Ermel,1/24/1965,6/5/1995,1/1/9999,Engineer,Development
454378,Gina,Ossenbruggen,1/6/1965,1/3/1998,1/1/9999,Technique Leader,Production
454338,Mohammed,Georg,1/24/1965,8/3/1998,1/1/9999,Engineer,Quality Management
453996,Sugwoo,Weiland,1/24/1965,4/23/1997,1/18/1999,Senior Engineer,Quality Management
453913,Stein,Perng,1/23/1965,4/29/1993,1/1/9999,Staff,Marketing
453790,Fai,Keirsey,1/11/1965,10/12/1994,1/1/9999,Engineer,Development
453760,Ewing,Rajala,1/13/1965,6/21/1996,1/1/9999,Senior Staff,Customer Service
453723,Arne,Kohling,1/15/1965,12/13/1985,1/1/9999,Senior Engineer,Production
453688,Chinya,Leslie,1/24/1965,10/28/1995,1/1/9999,Engineer,Quality Management
453644,Berni,Takkinen,1/7/1965,6/8/1992,1/1/9999,Staff,Marketing
453154,Gao,Lally,1/3/1965,3/1/1996,1/1/9999,Staff,Customer Service
453070,Aran,Rosenbaum,1/6/1965,4/25/1991,1/1/9999,Staff,Human Resources
452982,Lobel,Aloia,1/29/1965,12/29/1994,1/1/9999,Senior Staff,Marketing
452970,Mari,Fargier,1/6/1965,8/18/1992,12/11/1995,Senior Engineer,Production
452957,Alair,Nanard,1/3/1965,2/10/1996,1/1/9999,Staff,Sales
452956,Gou,Thombley,1/17/1965,4/9/1987,11/7/1990,Senior Engineer,Production
452365,Fei,Gadepally,1/5/1965,11/13/1988,1/1/9999,Engineer,Development
452347,Shigeichiro,Brattka,1/7/1965,7/13/1996,1/1/9999,Staff,Sales
452325,Taiji,Berstel,1/14/1965,12/2/1996,1/1/9999,Engineer,Development
452206,Arra,Esposito,1/22/1965,11/3/1994,1/1/9999,Staff,Sales
452196,Bartek,Snyers,1/17/1965,1/14/1987,5/2/2001,Staff,Customer Service
452137,Subir,Miake,1/15/1965,7/11/1993,1/9/1999,Engineer,Production
451333,Radhika,Bonifati,1/15/1965,3/11/1995,1/1/9999,Senior Staff,Human Resources
451275,Bedrich,Isard,1/25/1965,6/7/1986,1/1/9999,Senior Staff,Research
451272,Jacopo,Krohm,1/2/1965,4/24/1991,1/1/9999,Senior Engineer,Development
451253,Jaihie,Ozeri,1/15/1965,6/21/1991,1/1/9999,Staff,Sales
450936,Yuriy,Ponthieu,1/18/1965,12/11/1991,1/1/9999,Staff,Finance
450934,Chanjung,Raoux,1/23/1965,5/25/1992,1/1/9999,Senior Engineer,Production
450888,Sedat,Rande,1/3/1965,3/25/1995,1/1/9999,Staff,Sales
450817,DAIDA,Frolund,1/10/1965,7/17/1987,1/1/9999,Engineer,Quality Management
450510,Boalin,Tramer,1/25/1965,4/13/1992,2/24/1993,Staff,Finance
450475,Saeed,Bahl,1/21/1965,1/29/1991,1/1/9999,Senior Staff,Finance
450421,Selwyn,Munoz,1/25/1965,7/5/1989,10/7/1992,Engineer,Production
450371,Eldridge,Pargaonkar,1/21/1965,8/3/1992,9/4/1999,Engineer,Production
450309,Gill,Orlowska,1/8/1965,12/25/1986,1/1/9999,Technique Leader,Quality Management
450255,Udo,Waymire,1/31/1965,6/14/1986,1/1/9999,Technique Leader,Development
450184,Selwyn,Henseler,1/11/1965,3/9/1993,1/1/9999,Senior Engineer,Development
449984,Hinrich,Perin,2/1/1965,11/20/1985,1/1/9999,Engineer,Development
449966,Mabry,Knightly,1/31/1965,1/4/1994,3/6/2001,Staff,Marketing
449815,Fumitaka,Quittner,1/27/1965,4/20/1988,1/1/9999,Senior Staff,Research
449189,Jahangir,Bernatsky,1/30/1965,9/30/1995,1/1/9999,Senior Staff,Sales
448994,Haldun,Syang,1/12/1965,2/11/1997,1/1/9999,Staff,Finance
448918,Chiradeep,Arlazarov,1/23/1965,10/6/1989,1/1/9999,Engineer,Production
448900,Mart,Talmor,1/16/1965,5/11/1999,1/1/9999,Staff,Sales
448769,Mong,Dichev,1/18/1965,10/11/1997,1/1/9999,Technique Leader,Production
448165,Anyuan,Schwaller,1/7/1965,8/31/1993,5/6/2001,Staff,Sales
447999,Shiv,Vilarrasa,1/5/1965,8/1/1990,1/1/9999,Engineer,Development
447982,Shiv,Baezner,1/25/1965,12/17/1990,1/1/9999,Senior Engineer,Production
